id;fiscal_year;category_id;budgeted_amount;created_by;created_at;updated_at
368538a5-6078-4ab8-8fc9-1d9907f6433e;FY25-26;c1983799-4eef-40b5-861b-3d621b94891e;2082575.3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:54:12.715099+00;2025-11-28 11:54:25.595041+00
b3263436-9347-45e8-91e6-abd7bd761eb3;FY25-26;61298f97-a72f-4a84-951d-10f4d9886a30;36981708;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:54:12.715099+00;2025-11-28 12:10:31.633423+00
f072fd26-4993-4147-b18a-1398f8a94f39;FY25-26;144110e8-fb7f-4ec6-ae94-f807a8109dd7;139402296;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:54:12.715099+00;2025-11-28 12:10:31.633423+00
9fe5af0b-7871-45fc-8db9-086b3fbc25ad;FY25-26;b1bb2d02-0fca-4619-9c16-82166357f3b5;879138;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:54:12.715099+00;2025-11-28 12:10:31.633423+00
b95fe0ad-a286-4822-b85b-c30f62bd579e;FY25-26;cff0057b-c78d-433e-90a9-2f18c96b67cd;4092663;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:54:12.715099+00;2025-11-28 12:10:31.633423+00
c566537d-8286-4eff-ad87-ed57d118e741;FY25-26;6d932676-313d-4d27-8fab-74d6c22ec3a3;11677955;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:54:12.715099+00;2025-11-30 06:12:04.512222+00
0d6525c9-354f-469f-973e-b6619e0c7161;FY25-26;78dd1bc7-def5-429e-b9e1-854fbf8a7251;815376.08;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:54:12.715099+00;2025-11-30 06:12:04.512222+00
8fb41e53-5ddf-40b1-9ada-62bd0376c7af;FY25-26;2a75451b-6e96-4314-8bd3-54a7347ed5db;3847734.35;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-11-24 06:54:12.715099+00;2025-11-30 06:12:04.512222+00
