id;user_id;type;title;message;related_id;is_read;created_at;created_by
865827d7-4e44-4285-935a-6c86ce94a91d;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 2A;Please upload CAM document for Tower 2A, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
04b322f9-7eec-4732-a069-4232fa9b5855;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 2B;Please upload CAM document for Tower 2B, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
7a2e9012-1572-4854-8a72-3cd26de02573;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 3A;Please upload CAM document for Tower 3A, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
822c839f-cbbf-4a2c-a734-5b37f11d65da;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 3B;Please upload CAM document for Tower 3B, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
947c782d-16fe-40f9-8bef-4bc583ea872c;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 4A;Please upload CAM document for Tower 4A, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
52a9ce40-0b3d-46fd-bd5f-ba5306dd27b5;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 4B;Please upload CAM document for Tower 4B, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
541662cb-6095-4a05-824d-765379f718c7;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 5;Please upload CAM document for Tower 5, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
dc97a970-a91b-48d1-8749-a83db8fad61e;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 6;Please upload CAM document for Tower 6, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
125dc811-cea6-4ed6-b570-d94424570709;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 7;Please upload CAM document for Tower 7, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
8a70fa51-da87-490d-b2e3-02f7cfdb53f5;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 8;Please upload CAM document for Tower 8, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
793524f9-cb38-4278-abc4-906d004f17be;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 9A;Please upload CAM document for Tower 9A, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
3784d766-2ac5-47fd-a716-5df4553b9025;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 9B;Please upload CAM document for Tower 9B, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
7ac3ff37-b889-4a68-b13b-6d6d6986ac52;67bdc48d-86c1-460a-a0d2-352dfc11af88;cam_reminder;CAM Document Missing - Tower 20C;Please upload CAM document for Tower 20C, Q1 (Apr-Jun) 2025;;false;2025-12-09 04:13:16.295041+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
3693a619-49c7-4416-9185-7de24366d087;de319bd1-2905-4988-8a37-b5e18b2b7487;data_discrepancy;Data Discrepancy in Tower 20A;Pending count increased from 2 (Aug) to 3 (Sep). Please verify data.;;false;2025-12-10 04:03:45.492499+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
79968368-bd31-4e69-b416-d6e5e05cb4a0;67bdc48d-86c1-460a-a0d2-352dfc11af88;data_discrepancy;Data Discrepancy in Tower 20A;Pending count increased from 2 (Aug) to 3 (Sep). Please verify data.;;true;2025-12-10 04:03:45.492499+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
f1cb45db-2cb7-4a00-b79c-13739e732f1c;de319bd1-2905-4988-8a37-b5e18b2b7487;data_discrepancy;Data Discrepancy in Tower 1B;Pending count increased from 5 (May) to 6 (Jun). Please verify data.;;false;2025-12-11 02:17:29.278634+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
94a1c71a-aa0c-4348-acef-c6291794a912;67bdc48d-86c1-460a-a0d2-352dfc11af88;data_discrepancy;Data Discrepancy in Tower 1B;Pending count increased from 5 (May) to 6 (Jun). Please verify data.;;true;2025-12-11 02:17:29.278634+00;73a0db7e-c07e-44a0-b86f-365afe2fc0d3
