id;user_id;role;created_at
e6a545a2-c1fd-4a46-9729-878b95b32d15;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;treasurer;2025-11-23 08:58:09.660216+00
4500487b-205d-44b4-874c-bd2a2aafb5bf;ac6ff0ba-95f6-4496-9b47-a2d457ea4cb2;accountant;2025-11-23 10:43:22.223711+00
d7409677-4ed2-4555-92ca-c933a126d25f;74f02ef8-5025-4907-b6ed-59b106775be1;accountant;2025-11-23 12:15:33.789848+00
5f3357d4-06b5-4e44-ac0b-31f4276bad2b;436dbe88-bf62-4399-8a6f-8056a4cd6048;accountant;2025-11-24 10:09:47.021835+00
c1fcd7a1-3b8f-4c0c-b8fd-98ee24cd0722;de319bd1-2905-4988-8a37-b5e18b2b7487;lead;2025-11-29 17:01:43.918845+00
3a8d153b-b037-4d00-8657-1bf8aff82f4b;67bdc48d-86c1-460a-a0d2-352dfc11af88;lead;2025-12-01 07:34:15.396675+00
