id;budget_item_id;amount;description;invoice_url;status;claimed_by;approved_by;expense_date;created_at;updated_at;budget_master_id;gst_amount;is_correction;correction_reason;correction_requested_at;correction_approved_at;correction_completed_at;tds_percentage;tds_amount
3c075860-1304-43d2-a4cb-8c5f916546bd;;1694899.00;Historical expense for EB Bill HT - october 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-10-15;2025-11-23 09:14:36.426657+00;2025-11-23 09:14:36.426657+00;a76806ac-a21f-4dbd-8605-833e4808ec22;0;false;;;;;0;0
d7cfdebd-68bf-48a3-ad34-f15128aa3f4f;;1529811.00;Historical expense for Metro Water - april 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-04-15;2025-11-23 09:14:36.684108+00;2025-11-23 09:14:36.684108+00;9a7318c8-ec42-43bf-94d2-5f0432b180f0;0;false;;;;;0;0
5b67269c-e025-40e4-9f33-e60a659a5b27;;1669283.00;Historical expense for Metro Water - may 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-05-15;2025-11-23 09:14:36.942022+00;2025-11-23 09:14:36.942022+00;9a7318c8-ec42-43bf-94d2-5f0432b180f0;0;false;;;;;0;0
40454e4f-bb45-47e0-86ab-2d9ff9bae460;;1582078.00;Historical expense for Metro Water - june 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-06-15;2025-11-23 09:14:37.195586+00;2025-11-23 09:14:37.195586+00;9a7318c8-ec42-43bf-94d2-5f0432b180f0;0;false;;;;;0;0
7d3451b7-2b2d-4cad-a0fe-59f033a7b883;;1402615.00;Historical expense for Metro Water - july 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-07-15;2025-11-23 09:14:37.455519+00;2025-11-23 09:14:37.455519+00;9a7318c8-ec42-43bf-94d2-5f0432b180f0;0;false;;;;;0;0
1204e500-ae48-472b-aff7-6dfcddfa38d6;;1315899.00;Historical expense for Metro Water - august 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-08-15;2025-11-23 09:14:37.687903+00;2025-11-23 09:14:37.687903+00;9a7318c8-ec42-43bf-94d2-5f0432b180f0;0;false;;;;;0;0
2a4ae167-27a6-4f94-b21a-cc82cb474123;;1478736.00;Historical expense for Metro Water - september 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-09-15;2025-11-23 09:14:37.924134+00;2025-11-23 09:14:37.924134+00;9a7318c8-ec42-43bf-94d2-5f0432b180f0;0;false;;;;;0;0
9c7f573d-1b0b-4514-8b4b-005c8bda4cd5;;1451352.00;Historical expense for Metro Water - october 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-10-15;2025-11-23 09:14:38.173857+00;2025-11-23 09:14:38.173857+00;9a7318c8-ec42-43bf-94d2-5f0432b180f0;0;false;;;;;0;0
e05e9c4f-18f1-4d04-86ec-612da564fac9;;2706114.00;Historical expense for EB LT Common - Tower wise - may 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-05-15;2025-11-23 09:14:38.439855+00;2025-11-23 09:14:38.439855+00;f6bc24b4-0229-455b-9e02-8aa88e57332f;0;false;;;;;0;0
478d76fa-7f6d-4882-8d55-7d253c87a4c8;;2610689.00;Historical expense for EB LT Common - Tower wise - july 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-07-15;2025-11-23 09:14:38.696759+00;2025-11-23 09:14:38.696759+00;f6bc24b4-0229-455b-9e02-8aa88e57332f;0;false;;;;;0;0
e95cb66e-98ec-4735-bf95-422597a5705a;;2671779.00;Historical expense for EB LT Common - Tower wise - september 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-09-15;2025-11-23 09:14:38.931284+00;2025-11-23 09:14:38.931284+00;f6bc24b4-0229-455b-9e02-8aa88e57332f;0;false;;;;;0;0
